Comment,Target³,Topic³,Attack-Defend³,Violence³,Hate speech³
"Pero a ver, boludea en twitter, gobierna, repara de a poco el país y se quejan por q cuando está al pedo usa twitter? 
Alguno se quejaba cuando Albertito no aparecía para no comprometer las elecciones? Cuando literalmente no teníamos presidente?",Individual,"Ideology, Policy",Defending,No,No
Pero los artistas lo bardean a el. No tiene derecho a defenderse? Ademas dale. Maria becerra diciendo que el gobierno no hace nada sabiendo que se estan enviando refuerzos para apagar el fuego es algo que ya se sabia. Por que los artistas no pueden ser mas respetuosos por una vez?,Individual,Policy,Defending,No,No
Pero por favor que alguien le saque el celular al tipo este de una vez por todas. El flaco es presidente de la nación y pierde su tiempo peleándose constantemente por Twitter con minitas productos musicales. A esta altura da vergüenza ya.,Individual,Ideology,Attacking,No,No
pero que monigote este milaidy,Individual,Ideology,Attacking,Yes,No
"Pero, no puede ser, si a mí me dijieron que milei era nazi.",Individual,Ideology,Neither,No,No
ponete a laburar milei lcdtm,Individual,Ideology,Attacking,No,No
Por otro año lleno de kukas sufriendola y una Argentina hecha potencia. Votamos bien 🥂🎉,Group,"Ideology, Policy",Defending,Yes,No
Posta no se dan cuenta que Milei es el tipo más populista de la historia de nuestra país?,Individual,Ideology,Attacking,No,No
"Prefiero que este en twiter a que esté viajando en avión como Cristina y Alberto que encima pagaban esos viajes con la nuestra. Pero no espero que los kukas entiendan, solo abren el Google para buscar memes de milei para informarse.",Group,"Policy, Ideology",Attacking,No,No
Prefiero que Milei me haga mierda a que Massa me destroce el orto.,Individual,Ideology,Defending,No,No
"Que es esto? No entiendo. Y en qué nos beneficia?
A mí me molesta que siga atrás de este loco y de Trump todo el tiempo, si bien ellos tienen más poder que nosotros, Argentina no tiene que ser la mascota de nadie. O haciendo esto ganamos algo? Porque si es así, que vaya a hacerle masajes a todos los presidentes poderosos",Group,Policy,Neither,No,No
"Que onda, están todos juntos los zurdos en este subreddit? Busquense un problema real. De las cosas que se quejan por favor.",Group,Ideology,Attacking,No,No
"Que presidente que tenemos lpm   
Que grande que sos Javier !!",Individual,Ideology,Defending,No,No
Que te pasa kukardo? Te duele la cola?,Group,Ideology,Attacking,Yes,Yes
Que verguenza este pelotudo estafador. Pensar que millones de forros lo votaron. Y pensar que otra vez otros millones (por suerte esta vez van a ser menos) lo van a volver a votar.,Individual,Ideology,Attacking,No,No
que vergǘenza me da que sea mi presidente.,Individual,Ideology,Neither,No,No
"Que vergüenza, despues de todas las pelotudeces que dijo este impresentable en estos ultimos dias y su amiguito Trumpeev, esto no es bueno. Estamos del lado incorrecto de la historia. Vengan los downvotes",Individual,"Policy, Ideology",Neither,No,No
Sal del País si puedes y cambiate la nacionalidad a Macaco ya sea México o Brasil!!,Individual,Origin,Attacking,Yes,Yes
Se pasa de pelotudo. Se piensa que sigue en el panel de intrusos. Estas gobernando un país pascualardo.,Individual,Policy,Attacking,No,No
Se reune con el ministro mas importante del gobierno de estados unidos. Los NSKP del sub: EN ESTO SE GASTA LA PLATA DEL ESTADO??!?!?!  Ahora resulta que son todos anarcocapitalistas.,Group,Policy,Neither,No,No
"Si Algo me demostro Macri, es que no importa lo que hagas siempre vas a ser un ultraderechista antiderechos. Podes dar mas planes sociales, aumentar El Estado, llevar al congreso la ley del aborto, y Los K te la votan en contra. Porque tenes la etiqueta de ""derecha, antiderechos*",Group,"Policy, Ideology",Defending,No,No
"Si el rumbo economico sigue asi, me pregunto que numero sacara Miller en las legislativas. No culpo a los que votaron a Massa por miedo, NADIE se imaginaba que en 11 meses ibamos a tener inflacion en 2.7, superavit fiscal y comercial, exportacion de gas, mejoras en defensa, auditorias... Y todo en 11 meses, y sin mayoria! Si esto no es gobernar, tener ""muñeca"" politica, no se que es.",Individual,Policy,Defending,No,No
"si hubiera ganado Massa a esta altura el sueldo mínimo sería 10 millones de pesos y tendríamos aumentos de 100% mensuales. los que nos perdimos por culpa de Milei, para la manoo",Individual,Policy,Neither,No,No
"si ver esto no te da algun tipo de verguenza, incomodidad o cringe, dejame decirte que sos el nuevo kuka, pero de milei, todavia no me decido por el nombre neokuka, liberkukardo, algo de eso va a pegar",Individual,Ideology,Attacking,Yes,Yes
Sonríen Lali y Becerra por el *efecto Cometierra*. Con cada palabra de Milei suben las ventas.,Individual,Ideology,Neither,No,No
"Soy más antiperoncho del mundo aún no reanudo relación con parte de la familia por discutir de política, pero como persona grande que soy solo digo una cosa y ojo para los que me caigan a patadas SOY ANTIKA a muerte los odio. Pero en este país los platos rotos, las fiestas de los políticos y los ajustes los pagamos siempre nosotros. Los Giles que laburamos. Veremos qué pasa. Yo ya estoy desesperanzado no me alcanza con que no roben más, quiero vivir dignamente y no pagar la recomposición del país con mi bolsillo. Si no sale la ley de extinción de dominio primero todo lo que hagas Miley va a se para que crea q SOS como todos",Group,"Policy, Ideology",Neither,No,No
"Subieron dos veces lo mismo? Milei es un ridículo, un cipayo, un arrastrado y un payaso, la calle virtual son un par de venecos y gordos multicuenta qué cobran un sueldo para poner ""eso mismo vote"" no se puede ser más patético, ni me imagino cuando les preguntan de que trabajan qué responden.",Individual,Ideology,Attacking,Yes,Yes
"Sueñan con Milei, pobres kukas quedaron tontitos, ahora sí ya no hay nadie que les cure la enfermedad mental que tienen 😔",Group,Ideology,Attacking,Yes,Yes
"Tipo grande discute con minas a las que le dobla la edad. ""Lo peor de tener un presidente que sea mogolico es tener gente a tu alrededor que parece olvidarse cada 5 minutos que el presidente es mogolico. ""Ay ¿viste lo que hizo?¿como va a hacer eso?"". Porque es mogolico. Ya tuvimos esta conversacion varias veces. El presidente es mogolico.""",Individual,Ideology,Attacking,Yes,No
"TODOS LOS SUBNORMALES QUE LO VOTARON AHORA SE RIEN AQUI COMO SI NO TUVIESEN NINGUNA RESPONSABILIDAD, ESTE PAIS ES FLIPANTE",Group,Ideology,Attacking,Yes,No
"Tranquilos amigos, tenemos una tercera opción. Todavía podemos votar a Milei /s",Individual,Ideology,Attacking,No,No
Tuvimos un okay primer año. Lastima que ahora Milei se haya puesto full retrasado,Individual,Ideology,Attacking,No,No
Un Milei salvaje? JAJAJAJAJAJAJA que mediocre todo. No se da cuenta que lo están usando? que triste necesidad de atención que tiene.,Individual,Ideology,Attacking,No,No
"Una cagada porque una vez mas demuestran falta de seriedad, no se si entienden lo delicado de la situación para la Argentina y no solo actual, sino a futuro. Si hacen mal las cosas empieza a girar la rueda peroncha de nuevo. Otra cosa, un asco los kukardos que salieron de abajo de una piedra, gente que defendió a Alberto comentando acá como si lo hubieran enganchado al mongo del presi revoleando bolsos con guita en un convento.",Group,"Policy, Ideology",Attacking,Yes,No
"vamooooooooooooooooooooooooooooooooooooooo, que se pudran , que se pudran esos ... peronchos olor a culo, hdps asco dan asco, roban patotean, persiguen ideologicamente, atacan , y ni con toda la campaña inmunda del miedo pudieron dar vuelta  el resultado, peronchos asquerosos, vamoooooooooooooooo",Group,"Ideology, Policy",Attacking,Yes,Yes
Vamos Milei! Felicitaciones!  Capo!,Individual,Ideology,Defending,No,No
VASTA MILEY!!!!1uno,Individual,Ideology,Neither,No,No
"vergüenza ajena, pobres argentinos que los gobierna un títere.",Individual,Ideology,Attacking,No,No
son unos hijos de puta pelotudos estos kukas,Group,Ideology,Attacking,Yes,Yes
milei deberia aprender cuando callarse,Individual,Ideology,Neither,No,No